# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:31:48 2021
#
# Command line:   ./nu -e OPERA -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   OPERA
# Including the following AEDL files:
#   opera.glb (version 3.0.0)
#
# AEDL variables:
#
# External analysis routines included:
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                   -1.8           -2.11     5.609905748     5.687190508
                   -1.8           -2.06     6.698345575     6.786082014
                   -1.8           -2.01     7.933482444     8.032002186
                   -1.8           -1.96     9.319616367     9.428980538
                   -1.8           -1.91     10.85709719     10.97702072
                   -1.8           -1.86     12.54127993     12.67105777
                   -1.8           -1.81     14.36154973     14.49999592
                   -1.8           -1.76     16.30058827     16.44600332
                   -1.8           -1.71     18.33411456     18.48430038
                   -1.8           -1.66     20.43136525     20.58370639
                   -1.8           -1.61     22.55653678     22.70815829
                   -1.8           -1.56     24.67124156       24.819235
                   -1.8           -1.51     26.73772614     26.87940841
                   -1.8           -1.46     28.72225431     28.85540292
                   -1.8           -1.41     30.59787385     30.72088182
                   -1.8           -1.36     32.34593269     32.45785298
                   -1.8           -1.31     33.95615364     34.05664209
                   -1.8           -1.26     35.42555676     35.51475116
                   -1.8           -1.21     36.75677371     36.83515261
                   -1.8           -1.16     37.95627028     38.02452336
                   -1.8           -1.11     39.03280497     39.09173042
                   -1.8           -1.06     39.99625192      40.0466834
                   -1.8           -1.01       40.856784     40.89954298
                   -1.8           -0.96     41.62435063     41.66021806
                   -1.8           -0.91     42.30837216     42.33807345
