# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:38:10 2021
#
# Command line:   ./nu -e MUBOONE -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,40,LOGSCALE -p s22thmue,-4.,0.,40,LOGSCALE -p Um4,0.025,0.775,15 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    40  0x1
#     s22thmue,         -4,          0,    40  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                     -2            -1.9           0.475     25.00464703           1e+50
                     -2            -1.9           0.525     25.00462954           1e+50
                     -2            -1.9           0.575     25.00460987           1e+50
                     -2            -1.9           0.625     25.00458805           1e+50
                     -2            -1.9           0.675     25.00456404           1e+50
                     -2            -1.9           0.725     25.00453778           1e+50
                     -2            -1.9           0.775     25.00450916           1e+50
                     -2            -1.8           0.025           1e+50           1e+50
                     -2            -1.8           0.075     25.00482537           1e+50
                     -2            -1.8           0.125     25.00499724           1e+50
                     -2            -1.8           0.175     25.00503803           1e+50
                     -2            -1.8           0.225     25.00504957           1e+50
                     -2            -1.8           0.275     25.00504989           1e+50
                     -2            -1.8           0.325     25.00504429           1e+50
                     -2            -1.8           0.375     25.00503476           1e+50
                     -2            -1.8           0.425     25.00502218           1e+50
                     -2            -1.8           0.475       25.005007           1e+50
                     -2            -1.8           0.525     25.00498941           1e+50
                     -2            -1.8           0.575     25.00496954           1e+50
                     -2            -1.8           0.625      25.0049474           1e+50
                     -2            -1.8           0.675     25.00492299           1e+50
                     -2            -1.8           0.725     25.00489623           1e+50
                     -2            -1.8           0.775     25.00486699           1e+50
                     -2            -1.7           0.025           1e+50           1e+50
                     -2            -1.7           0.075     25.00519224           1e+50
                     -2            -1.7           0.125     25.00542556           1e+50
                     -2            -1.7           0.175     25.00547978           1e+50
                     -2            -1.7           0.225     25.00549661           1e+50
                     -2            -1.7           0.275     25.00549948           1e+50
                     -2            -1.7           0.325     25.00549521           1e+50
                     -2            -1.7           0.375      25.0054864           1e+50
